value,command,name,timeStamp,asResponse,actuatorType,timeStampMillis,stateData,hasError,statusCode
35.0,1,HumidifierActuator,"2020-12-12 :06:34:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:34:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:35:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:36:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:37:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:38:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:39:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:40:54",false,2,0,"Commond on",,0
